XG,Time,Half,ball_x,ball_y,ball_z,ball_speed,us_1_x,us_1_y,us_1_speed,us_2_x,us_2_y,us_2_speed,us_3_x,us_3_y,us_3_speed,us_4_x,us_4_y,us_4_speed,us_5_x,us_5_y,us_5_speed,us_6_x,us_6_y,us_6_speed,us_7_x,us_7_y,us_7_speed,us_8_x,us_8_y,us_8_speed,us_9_x,us_9_y,us_9_speed,us_10_x,us_10_y,us_10_speed,us_11_x,us_11_y,us_11_speed,them_1_x,them_1_y,them_1_speed,them_2_x,them_2_y,them_2_speed,them_3_x,them_3_y,them_3_speed,them_4_x,them_4_y,them_4_speed,them_5_x,them_5_y,them_5_speed,them_6_x,them_6_y,them_6_speed,them_7_x,them_7_y,them_7_speed,them_8_x,them_8_y,them_8_speed,them_9_x,them_9_y,them_9_speed,them_10_x,them_10_y,them_10_speed,them_11_x,them_11_y,them_11_speed
0.04499336704611778,4796,2,43.04,16.74,2.12,4.07,43.32,18.18,3.81,42.16,11.25,2.67,32.53,9.28,3.58,23.59,20.61,4.03,33.77,-3.98,3.86,25.56,-1.25,4.01,15.53,6.49,1.45,6.13,7.82,1.42,24.52,-22.79,1.56,5.62,-5.88,2.43,-19.38,-2.17,0.53,43.04,13.32,4.65,35.47,11.35,5.11,43.41,6.89,4.0,49.13,3.37,1.9000000000000001,40.91,0.38,3.92,32.47,3.01,4.24,18.76,9.67,3.21,35.41,-8.72,4.45,31.11,-7.12,6.02,16.44,5.22,2.05,19.49,-5.7,2.43
0.01636422611773014,5229,2,49.82,4.07,4.77,10.92,42.61,-2.07,3.25,40.88,8.32,2.39,34.72,16.35,2.65,30.27,-0.30000000000000004,4.13,27.76,11.4,2.12,29.32,-13.56,3.59,13.95,12.27,1.94,9.99,-1.85,4.17,16.28,27.47,2.27,6.65,16.9,2.42,-22.61,5.06,1.01,50.23,2.61,2.65,41.84,6.4,2.44,41.7,-2.88,4.98,39.55,9.83,3.3,38.02,14.75,2.75,32.93,-0.67,4.05,31.7,5.2,3.54,31.72,13.66,3.28,23.9,-1.1,2.75,19.6,6.1,1.49,23.57,25.25,1.37
0.03294634073972702,5399,2,52.55,-4.19,4.22,13.02,45.92,-6.82,2.16,41.7,-6.61,2.54,41.28,1.66,0.18,35.95,-4.5,0.44,44.25,11.03,4.23,39.91,-18.0,0.78,31.94,6.62,2.38,22.78,-6.32,1.13,23.97,-14.99,2.34,19.11,1.08,2.26,-17.39,-3.33,0.07,51.22,-3.95,2.44,45.5,-6.34,2.02,45.06,-0.07,1.67,43.5,-7.48,2.61,45.59,4.2,2.08,43.7,-10.73,1.19,40.42,-1.42,1.61,41.42,-11.77,1.6300000000000001,33.54,-8.51,1.46,33.01,4.04,1.5,24.63,-2.54,1.34
0.02326332964003086,5429,2,50.89,4.39,0.18,12.78,37.42,11.48,2.74,33.91,-5.21,1.6300000000000001,30.99,10.1,0.96,29.92,12.01,1.15,27.4,11.39,3.5100000000000002,29.02,22.51,1.62,20.95,9.93,1.05,13.27,-8.07,0.88,10.97,1.84,0.97,3.05,12.95,0.93,-26.78,1.43,1.11,50.47,3.42,3.53,41.76,5.68,3.21,39.58,-3.26,1.13,34.01,5.62,1.02,33.74,7.79,2.54,36.36,22.22,2.49,26.87,17.88,0.07,35.28,-22.08,1.41,20.43,8.87,0.9400000000000001,14.91,0.39,1.11,4.7,12.05,1.24
0.42174574732780457,284,1,38.74,-9.75,0.25,8.0,37.71,-9.63,7.06,35.78,-17.02,6.06,29.68,-13.09,5.57,33.36,-0.28,7.65,13.21,-7.61,3.15,19.68,-28.55,1.42,8.23,-20.09,2.8,9.23,4.11,3.21,3.69,-14.53,1.56,1.6400000000000001,-9.28,1.42,-27.61,-2.36,1.34,37.3,-10.91,5.8,37.52,-8.34,5.85,34.63,-16.96,7.08,47.78,-4.16,1.31,33.2,0.5700000000000001,7.83,28.8,-16.44,3.38,25.87,-9.62,2.88,6.02,-12.09,1.37,6.95,3.1,1.34,8.15,-25.64,1.39,13.16,18.93,4.69
0.19431063532829285,322,1,48.73,-2.38,0.21,5.71,48.03,-2.02,2.15,48.0,-3.84,0.37,50.92,-4.08,1.99,46.96,3.11,3.78,53.62,-8.41,2.56,48.95,5.76,0.15,37.1,-0.04,2.91,26.33,-4.62,1.33,41.74,-29.68,4.69,4.62,-0.23,0.68,-22.03,-0.86,0.0,48.16,-3.13,0.25,49.25,-1.2,1.5,50.09,-0.56,2.7600000000000002,51.88,-3.64,1.24,51.18,1.13,2.34,46.43,-6.28,0.26,45.61,2.32,2.8,46.45,-7.95,0.26,50.72,-8.9,0.91,36.46,1.14,1.91,23.01,3.22,0.88
0.15988144278526306,1030,1,47.93,-2.79,0.22,20.63,41.87,0.13,7.5,41.97,-10.85,6.0,39.03,2.18,5.03,41.18,9.16,6.62,21.02,-7.71,3.35,9.6,-0.36,3.62,5.03,-14.83,1.68,6.03,14.97,2.5100000000000002,-1.05,-3.28,2.4,-2.39,4.49,1.72,-30.88,-0.79,0.93,46.75,-4.65,1.39,42.18,-6.83,6.14,41.0,3.4,6.56,38.49,-3.37,5.77,30.21,-0.28,3.89,30.39,-6.79,3.58,31.18,-12.45,4.11,23.28,2.13,3.81,6.94,-8.66,1.59,5.59,14.51,0.92,-4.29,0.74,1.62
0.01679907739162445,1507,1,18.72,-12.2,0.34,4.46,18.34,-12.39,3.52,20.21,-4.01,1.94,22.58,-4.73,5.18,23.63,-19.45,3.6,9.92,-13.9,3.37,19.25,-21.15,4.01,3.12,-20.05,1.72,-1.25,-7.11,2.33,11.16,-31.71,3.41,6.84,7.65,3.21,-23.16,-7.36,1.41,18.51,-16.16,4.61,24.44,-10.96,2.55,12.86,-16.53,2.13,24.41,-17.41,4.21,16.8,-4.69,4.0,24.82,-7.03,4.04,16.14,-22.67,3.04,23.46,-2.33,3.08,7.39,-20.25,1.58,4.32,-3.04,2.23,43.75,-2.63,1.55
0.09645368903875351,2811,1,53.19,-12.49,0.74,8.24,44.88,-8.67,1.68,41.76,6.19,1.35,37.09,2.63,0.11,39.19,11.74,1.2,20.29,-8.13,0.99,13.09,3.18,1.31,4.89,-18.33,0.92,10.29,14.61,0.49,1.48,-10.44,0.59,0.8200000000000001,-4.23,1.08,-25.48,-3.35,0.05,44.57,-4.89,0.87,48.79,0.62,1.8,36.39,-8.08,1.51,40.81,4.95,0.36,43.55,8.5,0.67,41.32,8.69,1.42,26.88,1.9000000000000001,1.37,11.74,-12.08,1.08,5.69,-20.78,1.29,11.44,15.25,0.45,2.61,-9.07,1.19
0.09326676279306412,2850,2,35.8,-5.66,0.30000000000000004,4.41,35.76,-4.64,2.44,36.93,-12.85,2.24,41.05,2.79,1.96,38.84,4.78,5.71,24.33,-2.16,3.26,41.01,13.3,0.8300000000000001,15.68,-13.68,3.99,10.93,12.36,0.84,3.44,-4.87,1.35,2.01,1.4,0.65,-24.05,2.07,0.6900000000000001,37.84,-4.46,2.62,38.1,-2.64,4.89,33.68,-1.62,3.97,40.89,-0.12,3.78,37.05,3.62,3.64,25.11,-4.14,3.32,39.36,5.48,3.23,47.88,-1.9000000000000001,1.17,26.54,-15.85,4.65,4.15,-3.07,1.07,12.16,15.73,0.98
0.8950350880622864,3119,2,47.77,6.05,0.34,4.98,47.89,6.3,4.93,40.7,8.18,2.72,36.98,8.23,0.05,45.94,-5.6,3.37,33.9,5.28,1.42,32.95,11.06,1.31,32.03,-3.81,1.83,37.53,24.07,0.32,21.17,19.45,0.0,16.96,5.25,0.47000000000000003,-18.5,4.63,0.5700000000000001,46.56,6.36,1.68,44.73,5.64,4.32,47.19,-1.07,5.2,40.04,10.13,0.7000000000000001,39.95,11.23,0.26,38.69,10.33,0.79,36.54,4.19,1.29,39.47,18.67,0.09,32.66,5.02,0.13,23.66,22.25,0.0,17.57,6.41,0.18
0.04086939990520477,3850,2,27.82,5.76,0.30000000000000004,9.39,28.11,6.5,3.58,22.2,2.95,2.14,32.77,0.4,2.62,36.21,3.29,4.53,22.26,-2.71,3.56,36.41,20.5,1.94,35.57,-11.63,2.56,8.24,-2.41,2.23,35.15,-15.2,5.93,8.98,-11.13,2.81,-19.79,1.3800000000000001,0.84,29.62,7.18,3.7600000000000002,21.32,4.55,2.81,34.79,5.72,2.79,29.81,-2.52,3.68,35.44,1.71,0.98,22.68,-4.98,3.02,37.59,13.95,1.44,35.83,-6.59,2.13,31.61,-9.2,3.59,48.73,1.32,1.51,9.01,-4.85,1.43
0.06699761748313904,4150,2,32.77,-9.62,0.28,6.02,31.83,-9.63,6.14,35.49,-11.51,5.79,35.66,-0.86,5.19,19.26,-2.5100000000000002,3.91,25.92,4.45,4.5,29.14,9.33,6.86,10.1,-10.43,3.15,1.3,-14.64,1.4,3.14,-21.66,1.58,0.37,-10.38,1.85,-26.0,-1.67,1.57,31.78,-6.46,4.45,36.48,-5.54,4.68,25.14,-5.54,3.27,23.86,-14.45,6.08,34.38,2.66,5.03,26.26,2.8,6.7,18.21,-11.63,4.49,48.9,-2.3,1.08,14.21,-3.47,3.03,6.52,-20.91,0.67,0.58,-17.73,1.45
0.07893937081098557,5334,2,47.53,9.29,2.55,14.59,44.93,13.96,6.94,38.26,-0.75,2.5,42.75,-7.26,5.34,11.73,11.54,3.79,14.91,-7.79,3.65,2.57,16.85,2.89,2.08,3.16,2.69,1.49,-10.28,3.28,-2.79,5.25,1.95,-1.48,-3.59,1.93,-30.23,-0.5,1.55,44.71,12.38,5.54,49.74,4.93,1.3800000000000001,42.34,2.35,4.68,32.41,5.12,1.39,37.83,-4.18,3.68,19.37,14.73,4.18,12.32,1.04,3.46,10.26,9.66,3.96,6.39,-3.14,3.09,6.12,-5.39,5.05,0.19,12.91,3.36
0.01319330744445324,5380,2,31.64,-10.75,0.54,4.46,29.87,-9.03,5.6,43.2,-13.48,5.04,44.47,1.32,1.6300000000000001,44.74,4.57,1.93,47.12,3.59,1.65,44.05,6.48,2.78,11.98,3.27,2.56,3.86,2.46,1.68,43.4,28.04,3.64,40.83,29.58,3.72,-19.91,4.15,1.28,35.14,-7.12,4.73,39.75,-8.06,4.12,42.54,-2.78,3.12,43.05,0.07,1.68,43.15,1.78,2.9,43.0,2.88,5.11,43.98,3.9,3.07,49.79,-1.83,1.08,45.48,5.78,2.58,14.38,2.58,2.71,38.99,16.72,3.23
