player,shap_importance
FCMplayer_16,0.4669207731112547
FCKplayer_30,0.45248169300571317
FCKplayer_9,0.39876144121261314
VBplayer_1,0.38197314368234947
FCMplayer_25,0.350528305949294
FCNplayer_4,0.3299734058408067
FCKplayer_22,0.3200796489595086
FCNplayer_11,0.31055893511389143
FCNplayer_25,0.3081897114019375
FCMplayer_1,0.30646579876611935
VBplayer_8,0.2999734271517955
FCNplayer_15,0.2981840267404914
VBplayer_4,0.2929149000109173
FCNplayer_13,0.2928755841635866
FCKplayer_6,0.2773552691318327
FCNplayer_24,0.2737128169845091
FCMplayer_58,0.27035957804045757
VBplayer_38,0.2679354212689213
FCNplayer_6,0.2630187564275111
FCNplayer_36,0.25939895699423504
FCNplayer_2,0.2571821797842277
FCKplayer_27,0.25032311784062766
FCKplayer_5,0.25029747750866227
VBplayer_11,0.24967454858962446
FCMplayer_18,0.24880307228905926
FCMplayer_43,0.24383831817632015
VBplayer_17,0.24162246620096262
FCMplayer_22,0.24104849807941353
FCNplayer_7,0.23693325755174735
FCNplayer_8,0.22914703268872105
FCKplayer_10,0.22769191433145897
FCMplayer_24,0.2271267455506895
VBplayer_14,0.22426387596921993
FCNplayer_21,0.22345576151832935
FCMplayer_5,0.22286413582813108
FCMplayer_4,0.21910375697683773
FCNplayer_10,0.21685561641625828
FCKplayer_2,0.21614059883245496
FCMplayer_55,0.2135479967624415
Ball_z,0.20200397652067476
VBplayer_2,0.20122296386491506
FCKplayer_12,0.20074338558031007
VBplayer_34,0.19057656884612517
FCKplayer_1,0.18881287684605927
FCMplayer_6,0.18757348357965622
FCMplayer_3,0.17834602895122953
FCMplayer_11,0.17617145214549962
FCKplayer_8,0.17598337182000973
VBplayer_33,0.17345955245010553
FCMplayer_7,0.1591050139917255
VBplayer_10,0.15081817101174966
FCMplayer_41,0.1399625809430145
FCMplayer_80,0.13161464468826306
FCMplayer_20,0.101349523978075
FCMplayer_19,0.07753574229528505
FCMplayer_21,0.04537049173077684
VBplayer_37,0.0
FCKplayer_38,0.0
FCKplayer_13,0.0
VBplayer_59,0.0
VBplayer_18,0.0
FCKplayer_14,0.0
VBplayer_7,0.0
FCKplayer_17,0.0
FCMplayer_73,0.0
FCKplayer_7,0.0
FCMplayer_13,0.0
FCMplayer_14,0.0
FCNplayer_34,0.0
FCNplayer_3,0.0
FCNplayer_23,0.0
FCMplayer_29,0.0
FCNplayer_20,0.0
FCNplayer_18,0.0
FCNplayer_17,0.0
FCMplayer_53,0.0
FCNplayer_45,0.0
